month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Postal,Latitude,Longitude,District
2023-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,01 TO 03,44.0,Improved,1979,55 years 05 months,267000.0,560406,1.36200453938712,103.853879910407,20
2023-01,ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,04 TO 06,49.0,Improved,1977,53 years 06 months,300000.0,560323,1.36790849360635,103.84771408812,20
2023-01,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,04 TO 06,44.0,Improved,1978,54 years 01 month,280000.0,560314,1.36622707120636,103.850085858983,20
2023-01,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,07 TO 09,44.0,Improved,1978,54 years 01 month,282000.0,560314,1.36622707120636,103.850085858983,20
2023-01,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,62 years 01 month,289800.0,560170,1.37400071781295,103.83643153142,20
2023-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1978,54 years 01 month,380000.0,560225,1.36739612776859,103.838150007464,20
2023-01,ANG MO KIO,3 ROOM,310C,ANG MO KIO AVE 1,25 TO 27,70.0,Model A,2012,88 years 09 months,635000.0,563310,1.36461194568101,103.844851256166,20
2023-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1978,54 years 01 month,380000.0,560225,1.36739612776859,103.838150007464,20
2023-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,53 years 04 months,365000.0,560319,1.36511023350774,103.847379037914,20
2023-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1977,53 years 04 months,418000.0,560319,1.36511023350774,103.847379037914,20
2023-01,ANG MO KIO,3 ROOM,220,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1977,53 years 07 months,380000.0,560220,1.36558833593063,103.840518883254,20
2023-01,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,07 TO 09,89.0,New Generation,1980,56 years 01 month,425000.0,560457,1.36569761910875,103.858941954115,20
2023-01,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,57 years 01 month,345000.0,560541,1.37392239168826,103.855621371068,20
2023-01,ANG MO KIO,3 ROOM,456,ANG MO KIO AVE 10,04 TO 06,75.0,New Generation,1980,56 years 01 month,390000.0,560456,1.36716071992678,103.858658520644,20
2023-01,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,01 TO 03,74.0,New Generation,1979,55 years 09 months,365000.0,560419,1.36534669720177,103.85415182597,20
2023-01,ANG MO KIO,3 ROOM,464,ANG MO KIO AVE 10,01 TO 03,75.0,New Generation,1980,56 years 02 months,388000.0,560464,1.36672875832929,103.856921360601,20
2023-01,ANG MO KIO,3 ROOM,474,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1984,60 years 02 months,341888.0,560474,1.36275784702216,103.858015323667,20
2023-01,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,07 TO 09,74.0,New Generation,1979,55 years 08 months,400000.0,560418,1.3649460137791,103.854043379775,20
2023-01,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1981,57 years 01 month,360000.0,560541,1.37392239168826,103.855621371068,20
2023-01,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,56 years 02 months,360000.0,560556,1.37203236308683,103.857625375797,20
2023-01,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,56 years 01 month,392000.0,560462,1.36695558620194,103.858031320467,20
2023-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,56 years 02 months,428000.0,560560,1.37081626777721,103.859192334256,20
2023-01,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,13 TO 15,74.0,New Generation,1979,55 years 07 months,402800.0,560417,1.36495953274783,103.855197097728,20
2023-01,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,04 TO 06,74.0,New Generation,1979,55 years 07 months,372000.0,560417,1.36495953274783,103.855197097728,20
2023-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1980,56 years 01 month,390000.0,560560,1.37081626777721,103.859192334256,20
2023-01,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,57 years,345000.0,560541,1.37392239168826,103.855621371068,20
2023-01,ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1977,53 years 05 months,355000.0,560211,1.369196965617,103.841666636086,20
2023-01,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,52 years 04 months,338000.0,560213,1.36776947218047,103.841255432522,20
2023-01,ANG MO KIO,3 ROOM,212,ANG MO KIO AVE 3,07 TO 09,81.0,New Generation,1977,53 years 04 months,410000.0,560212,1.36880359418469,103.841618072603,20
2023-01,ANG MO KIO,3 ROOM,346,ANG MO KIO AVE 3,04 TO 06,73.0,New Generation,1978,54 years 04 months,398000.0,560346,1.36709586875167,103.84966230288,20
2023-01,ANG MO KIO,3 ROOM,232,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1977,53 years 09 months,367000.0,560232,1.36834606813391,103.837196046409,20
2023-01,ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1978,54 years 01 month,378000.0,560230,1.36885445228086,103.837896397823,20
2023-01,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,07 TO 09,82.0,New Generation,1978,54 years 10 months,408000.0,560120,1.37004739686133,103.844594754874,20
2023-01,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1979,55 years 05 months,405000.0,560570,1.3697435855576,103.856023138277,20
2023-01,ANG MO KIO,3 ROOM,103,ANG MO KIO AVE 3,01 TO 03,89.0,New Generation,1978,54 years 02 months,448888.0,560103,1.37101657804604,103.839304839187,20
2023-01,ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1977,53 years 05 months,390000.0,560211,1.369196965617,103.841666636086,20
2023-01,ANG MO KIO,3 ROOM,313,ANG MO KIO AVE 3,04 TO 06,73.0,New Generation,1978,54 years 01 month,380000.0,560313,1.36664972640598,103.850133665442,20
